148.png	woman: medium-dark skin tone	👩🏾️	\U0001F469\U0001F3FE\U0000FE0F	U+1F469 U+1F3FE	woman: medium-dark skin tone
149.png	woman: dark skin tone	👩🏿️	\U0001F469\U0001F3FF\U0000FE0F	U+1F469 U+1F3FF	woman: dark skin tone
150.png	older adult	🧓️	\U0001F9D3\U0000FE0F	U+1F9D3	older adult
151.png	older adult: light skin tone	🧓🏻️	\U0001F9D3\U0001F3FB\U0000FE0F	U+1F9D3 U+1F3FB	older adult: light skin tone
152.png	older adult: medium-light skin tone	🧓🏼️	\U0001F9D3\U0001F3FC\U0000FE0F	U+1F9D3 U+1F3FC	older adult: medium-light skin tone
153.png	older adult: medium skin tone	🧓🏽️	\U0001F9D3\U0001F3FD\U0000FE0F	U+1F9D3 U+1F3FD	older adult: medium skin tone
154.png	older adult: medium-dark skin tone	🧓🏾️	\U0001F9D3\U0001F3FE\U0000FE0F	U+1F9D3 U+1F3FE	older adult: medium-dark skin tone
155.png	older adult: dark skin tone	🧓🏿️	\U0001F9D3\U0001F3FF\U0000FE0F	U+1F9D3 U+1F3FF	older adult: dark skin tone
156.png	old man	👴️	\U0001F474\U0000FE0F	U+1F474	old man
157.png	old man: light skin tone	👴🏻️	\U0001F474\U0001F3FB\U0000FE0F	U+1F474 U+1F3FB	old man: light skin tone
158.png	old man: medium-light skin tone	👴🏼️	\U0001F474\U0001F3FC\U0000FE0F	U+1F474 U+1F3FC	old man: medium-light skin tone
159.png	old man: medium skin tone	👴🏽️	\U0001F474\U0001F3FD\U0000FE0F	U+1F474 U+1F3FD	old man: medium skin tone
160.png	old man: medium-dark skin tone	👴🏾️	\U0001F474\U0001F3FE\U0000FE0F	U+1F474 U+1F3FE	old man: medium-dark skin tone
161.png	old man: dark skin tone	👴🏿️	\U0001F474\U0001F3FF\U0000FE0F	U+1F474 U+1F3FF	old man: dark skin tone
162.png	old woman	👵️	\U0001F475\U0000FE0F	U+1F475	old woman
163.png	old woman: light skin tone	👵🏻️	\U0001F475\U0001F3FB\U0000FE0F	U+1F475 U+1F3FB	old woman: light skin tone
164.png	old woman: medium-light skin tone	👵🏼️	\U0001F475\U0001F3FC\U0000FE0F	U+1F475 U+1F3FC	old woman: medium-light skin tone
